scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,
0_1,cuttoon,주인공,와! 이제 새로운 생활의 시작이다! 기대되는 걸!,,,,,,,9,0,(캐리어를 끌며),문제 번호,Null,
0_1,Dcuttoon,주인공,"아빠, 엄마, 다시는 아프지 않고 튼튼해지고 싶어요.",,,,,,,9,0,,,Null,
0_1,cuttoon,엄마,"name(아)야, 그럼 '희망둥둥섬'에 가는게 어떨까?",,,,,,,10,4,,,Null,
0_1,Dcuttoon,주인공,희망둥둥섬? 거기가 어딘데요?,,,,,,,9,4,,,Null,
0_1,Dcuttoon,아빠,"하늘에 둥둥 떠있는 섬인데, 아주 환상적인 곳이란다.",,,,,,,11,4,,,Null,
0_1,Dcuttoon,아빠,그섬에 가면 우리 name이가 원하는 대로 될 수 있지.,,,,,,,11,4,,,Null,
0_1,Move,아빠,<순간이동>,,,,,,,11,4,,,Null,
0_1,cuttoon,엄마,희망둥둥섬에선 매일매일 신나고 멋진 일이 일어난단다!  낮에는 바다에서 수영하고 연못에서 낚시하고,,,,,,,10,1,,,Null,
0_1,cuttoon,아빠,밤에는 반짝반짝 밤하늘의 별들을 맘껏 구경하고.,,,,,,,11,2,(말을 자르며),,Null,
0_1,cuttoon,엄마,희망둥둥섬에서 즐겁게 지내는 동안 우리 P_name이의 몸과 마음이 저절로 튼튼해질거란다!,,,,,,,10,4,,,Null,
0_1,cuttoon,주인공,"오예! 환상의 섬, 희망둥둥섬으로 출발~",,,,,,,9,3,"(약간 들뜬 표정으로 상상에 잠긴다. 혼자 별이 쏟아질 듯한 밤하늘을 바라보며 여유를 즐기는 모습, 낚시를 하는 모습 등을 상상한다.)",,Null,
0_1,nomal,주인공,거의 다 온 것 같은데…,,,,,,,9,,(숲으로 보이는 화면에서 두리번거리며) ,,Null,
0_1,Move,주인공,<순간이동>,,,,,,,9,,(숲으로 보이는 화면에서 두리번거리며) ,,Null,
0_1,tutorial,주인공,아~ 이 집이 내가 지낼 곳이구나! 들어가볼까?,,,,,,,9,,(숲으로 보이는 화면에서 두리번거리며) ,,Null,
0_1,Move,주인공,<순간이동>,,,,,,,9,,,,Null,
0_1,nomal,주인공,오예! 맘에 쏙 들어! 이제 마을도 둘러봐야지.,,,,,,,9,,,,Null,
0_1,nomal,나리,안녕! 새로운 친구! ,,,,,,,5,,(주인공을 발견한 나리)  ,,Null,
0_1,nomal,주인공,안녕! 오늘부터 이 섬에서 살게 됐어. 난  P_name라고 해. ,,,,,,,9,,(살짝 경계하며),,Null,
0_1,nomal,나리,난 나리! 희망둥둥섬에 온 걸 환영해. 다람.,,,,,,,5,,,,Null,
0_1,nomal,나리,P_name아! 우리 섬을 구경시켜줄까 다람?,,,,,,,5,,(웃으며) ,,Null,
0_1,nomal,주인공,좋아. 그렇잖아도 섬을 둘러볼 참이었거든.,,,,,,,9,,(쑥스러워하며) ,,Null,
0_1,nomal,나리,앗싸! 새 친구 도와주기 미션 성공! ,,,,,,,5,,,,Null,
0_1,nomal,나리,그럼 수호 이장님 집부터 가보자! 따라와 다람. ,,,,,,,5,,(이장님이 있는 곳으로 걸어간다 -> 잠시 후 도착),,Null,
0_1,Move,나리,<순간이동>,,,,,,,5,,(숲으로 보이는 화면에서 두리번거리며) ,,Null,
0_1,nomal,나리,수호이장님. 안녕하세요. (인사법) 희망! ,,,,,,,5,,,,Null,
0_1,nomal,이장,(인사법) 둥둥! 나리는 오늘도 기운이 넘치는 군. 어? 근데 옆에 있는 친구는 누구지?,,,,,,,4,,,,Null,
0_1,nomal,나리,"오늘부터 우리 섬에 살게 된 새친구에요. Name아! 우리 희망둥둥섬을 돌보는 지킴이, 수호 이장님이셔.",,,,,,,5,,,,Null,
0_1,nomal,주인공,"안녕하세요, 저는  P_name 이에요. ",,,,,,,9,,(쑥스러워하며) ,,Null,
0_1,nomal,이장,만나서 반가워. Name도 도움이 필요하면 찾아오렴. 그리고 우리만의 특별한 인사법도 잊지 말고. (인사) 희망!  ,,,,,,,4,,,,Null,
0_1,nomal,주인공,둥둥…  이렇게요?,,,,,,,9,,,,Null,
0_1,nomal,나리,"그럼 다음 장소로 가자. 수호 이장님, (인사) 희망! ",,,,,,,5,,,,Null,
0_1,nomal,이장,둥둥! 잘 가라~,,,,,,,4,,,,Null,
0_1,Move,나리,<순간이동>,,,,,,,5,,(목공소 도착) ,,Null,
0_1,nomal,나리,이 곳은 무무 목공방이야. 다람.,,,,,,,5,,(목공소 도착) ,,Null,
0_1,nomal,나리,"이곳은 무무 아저씨가 주인이야. 가구점도 같이 해서, 우리 섬 주민들은 보상으로 받은 코인으로 이곳에서 가구나 인테리어 소품을 살 수 있어. 다람.",,,,,,,5,,,,Null,
0_1,nomal,나리,히야~ 볼때마다 놀라워! 무무 아저씬 못 만드는 게 없다니까!,,,,,,,5,,,,Null,
0_1,nomal,주인공,와아~!  멋진 가구가 엄청 많구나.,,,,,,,9,,,,Null,
0_1,nomal,무무,으흠! 가구 사러 왔남?,,,,,,,0,,(갑자기 등장),,Null,
0_1,nomal,주인공,(놀람) 헉.. 아..아니요. 전 오늘부터 이 섬에 살게 돼서 마을을 구경 중이에요.  ,,,,,,,9,,,,Null,
0_1,nomal,무무,그렇군. 난 바빠서 이만.,,,,,,,0,,(사라지며),,Null,
0_1,nomal,주인공,"아, 무무아저씨!  물건을 사려면 어떻게…. ",,,,,,,9,,,,Null,
0_1,nomal,나리,무무아저씨는 원래 말씀이 없으셔. 보기보단 수줍음이 많아. ,,,,,,,5,,(머쓱한 듯),,Null,
0_1,tutorial,나리,"내가 무무 아저씨 대신 물건 사는 법을 알려줄게, 원목 식탁을 구매해볼까?",,,,,,,5,,,,Null,
0_1,nomal,나리,"쉽지? 필요한 물건이 있으면 이렇게 구매해. 자, 이번엔 내가 특별히 좋아하는 곳으로 가보자. 다람. ",,,,,,,5,,,,Null,
0_1,Move,나리,<순간이동>,,,,,,,5,,,,Null,
0_1,nomal,나리,"짜잔, 여기는 여미 헤어샵!",,,,,,,5,,,,Null,
0_1,nomal,나리,"우리 마을의 하나뿐인 미용사, 여미 언니를 소개합니다.  깜짝 변신을 원할 땐 여미언니에게 맡겨보세요~! ",,,,,,,5,,(여미를 가리키며) ,,Null,
0_1,nomal,나리,"여미언니에게 말을 걸면 머리, 눈, 입 모양 등을 마음대로 바꿀 수 있어. 다람. ",,,,,,,5,,(가능하다면 나리의 머리에 반짝거리는 효과 추가),,Null,
0_1,nomal,나리,요 귀여운 내 헤어스타일도 바로 여미 언니 작품이쥐.,,,,,,,5,,(가능하다면 나리의 머리에 반짝거리는 효과 추가),,Null,
0_1,nomal,주인공,나리한테 잘 어울려.,,,,,,,9,,(여미에게 다가가며),,Null,
0_1,nomal,여미,어머나! 귀여운 나리 왔구나. 어? 새로운 친구랑 같이 왔네. ,,,,,,,8,,(소란을 떨며) ,,Null,
0_1,nomal,나리,"여미언니, 이 친구가 누구냐면요?",,,,,,,5,,,,Null,
0_1,nomal,여미,딱 보니 우리 마을에 새로 이사온 친구네. 이름이 뭐니? ,,,,,,,8,,(말을 끊으며) ,,Null,
0_1,nomal,주인공,제 이름은 P_name에요. 잘 부탁드립니다.,,,,,,,9,,,,Null,
0_1,nomal,여미,나도 잘 부탁해. 여미 미용실에 찾아오면 더 멋지게 변신 시켜줄게. 호호호 ,,,,,,,8,,(또 말을 끊으며) ,,Null,
0_1,nomal,나리,"여미언니, 전 더 귀엽게 부탁드려요. ",,,,,,,5,,,,Null,
0_1,nomal,여미,오케이. 지금 당장 나리랑 P_name랑 변신해볼래?,,,,,,,8,,,,Null,
0_1,nomal,나리,지금은 P_name에게 섬을 구경시켜주고 있거든요. 다음에 같이 올게요.,,,,,,,5,,(익숙하다는 듯 미소 지으며),,Null,
